Percent Black or African American alone,Percent White,Percent Hispanic or Latino,Share of properties at risk of flood in 30 years,Percent pre-1960s housing (lead paint indicator),Share of the tract's land area that is covered by impervious surface or cropland as a percent,Percent of individuals < 100% Federal Poverty Line
0.08,0.81,0.05,24.0,13.0,1539.0,18.0
0.0,0.89,0.05,17.0,22.0,584.0,14.0
0.0,0.9,0.03,20.0,18.0,1518.0,17.0
0.06,0.89,0.02,14.0,19.0,2076.0,19.0
0.03,0.88,0.05,18.0,12.0,1780.0,24.0
0.05,0.85,0.02,22.0,43.0,2607.0,23.0
0.04,0.93,0.01,15.0,2.0,1958.0,5.0
0.0,0.93,0.0,7.0,19.0,1946.0,17.0
0.01,0.88,0.03,6.0,17.0,2552.0,21.0
0.76,0.13,0.1,15.0,65.0,2919.0,42.0
0.78,0.09,0.11,18.0,30.0,5431.0,47.0
0.83,0.14,0.0,8.0,70.0,5492.0,24.0
0.97,0.01,0.0,23.0,63.0,5430.0,42.0
0.98,0.0,0.0,35.0,64.0,6435.0,52.0
0.96,0.03,0.01,21.0,62.0,5461.0,41.0
0.96,0.01,0.0,7.0,16.0,2124.0,15.0
0.96,0.0,0.0,22.0,67.0,5186.0,17.0
0.91,0.0,0.06,23.0,64.0,4212.0,28.0
0.94,0.04,0.01,10.0,44.0,4326.0,41.0
0.82,0.15,0.01,7.0,51.0,4706.0,29.0
0.74,0.06,0.17,43.0,74.0,4201.0,46.0
0.63,0.27,0.07,19.0,61.0,1837.0,51.0
0.71,0.26,0.02,29.0,51.0,1906.0,24.0
0.9,0.05,0.0,8.0,54.0,3212.0,29.0
0.9,0.01,0.06,15.0,40.0,3745.0,43.0
0.29,0.62,0.02,19.0,70.0,3751.0,11.0
0.16,0.78,0.03,13.0,55.0,2368.0,8.0
0.56,0.36,0.02,22.0,36.0,7334.0,46.0
0.52,0.41,0.01,25.0,44.0,8090.0,38.0
0.95,0.0,0.02,10.0,69.0,6141.0,42.0
0.61,0.29,0.06,11.0,69.0,4182.0,35.0
0.91,0.02,0.04,8.0,68.0,5208.0,42.0
0.96,0.01,0.02,9.0,64.0,4388.0,32.0
0.95,0.02,0.01,39.0,38.0,5522.0,28.0
1.0,0.0,0.0,24.0,82.0,4954.0,38.0
0.96,0.01,0.01,17.0,51.0,5649.0,32.0
0.93,0.06,0.0,5.0,74.0,2216.0,18.0
0.94,0.04,0.01,11.0,75.0,3811.0,16.0
0.9,0.05,0.01,10.0,64.0,4596.0,41.0
0.97,0.01,0.0,17.0,62.0,3792.0,19.0
0.88,0.02,0.04,9.0,50.0,3986.0,23.0
0.77,0.02,0.22,26.0,51.0,5892.0,36.0
0.85,0.06,0.06,16.0,41.0,5148.0,40.0
0.83,0.08,0.07,20.0,66.0,5993.0,25.0
0.41,0.42,0.03,26.0,25.0,7973.0,64.0
0.14,0.77,0.04,14.0,53.0,5669.0,14.0
0.08,0.87,0.02,12.0,60.0,2222.0,6.0
0.01,0.93,0.02,12.0,47.0,3020.0,14.0
0.17,0.71,0.04,9.0,62.0,5112.0,23.0
0.23,0.66,0.04,17.0,41.0,5108.0,22.0
0.16,0.63,0.12,16.0,49.0,3596.0,22.0
0.93,0.0,0.06,40.0,62.0,5454.0,62.0
0.95,0.01,0.02,21.0,68.0,4686.0,15.0
0.64,0.19,0.12,9.0,11.0,4420.0,16.0
0.95,0.04,0.0,14.0,56.0,3095.0,18.0
0.44,0.5,0.01,13.0,41.0,1105.0,6.0
0.82,0.1,0.07,17.0,54.0,3678.0,44.0
0.06,0.83,0.09,34.0,39.0,3882.0,5.0
0.98,0.01,0.0,20.0,66.0,3260.0,19.0
0.95,0.04,0.0,22.0,56.0,3759.0,24.0
0.58,0.28,0.1,5.0,3.0,4817.0,22.0
0.6,0.29,0.06,13.0,36.0,1782.0,19.0
0.79,0.09,0.09,17.0,41.0,2243.0,13.0
0.76,0.21,0.01,17.0,9.0,1330.0,10.0
0.81,0.16,0.01,18.0,6.0,3373.0,29.0
0.87,0.1,0.0,8.0,4.0,744.0,23.0
0.9,0.06,0.0,13.0,4.0,1514.0,15.0
0.44,0.53,0.0,6.0,34.0,1450.0,11.0
0.34,0.62,0.0,15.0,35.0,1886.0,11.0
0.91,0.03,0.0,15.0,55.0,4553.0,41.0
0.61,0.19,0.18,12.0,73.0,5691.0,28.0
0.76,0.16,0.03,17.0,52.0,3587.0,19.0
0.92,0.03,0.01,16.0,37.0,3575.0,40.0
0.75,0.17,0.01,18.0,66.0,3174.0,39.0
0.78,0.15,0.02,16.0,28.0,2504.0,12.0
0.64,0.22,0.09,11.0,49.0,1639.0,21.0
0.89,0.07,0.01,17.0,54.0,5423.0,30.0
0.91,0.04,0.01,8.0,38.0,3452.0,18.0
0.22,0.59,0.13,7.0,35.0,4068.0,9.0
0.03,0.82,0.08,16.0,45.0,3892.0,5.0
0.04,0.9,0.01,9.0,67.0,3558.0,3.0
0.19,0.72,0.02,12.0,34.0,2975.0,11.0
